index,gen_score
50,80
102,80
502,70
488,95
1290,90
1944,80
861,70
208,90
1833,90
1327,80
1907,80
910,90
749,95
391,95
1470,60
1017,70
254,70
1749,80
35,80
525,70
825,80
1862,90
1521,80
542,70
1053,80
437,80
843,85
1740,90
1281,90
279,80
1838,85
1901,80
418,85
380,95
499,85
122,80
467,85
471,90
1580,90
508,80
1974,70
1447,90
191,80
1896,90
1313,80
1562,80
1297,80
1386,80
818,80
950,70
486,80
1850,90
209,85
1185,90
934,90
1541,85
179,90
1524,80
1394,90
1046,90
485,85
1619,70
1404,80
840,70
1018,90
210,80
1871,90
1348,70
190,80
353,60
617,70
1187,80
1824,85
606,70
1759,80
857,70
1132,80
1902,90
130,70
374,70
1960,90
21,95
1853,95
292,85
1992,70
375,95
159,90
335,95
428,70
1311,80
767,70
1456,80
189,70
1272,80
424,80
309,70
398,95
1636,90
198,95
1205,85
1078,80
1883,80
1324,80
183,80
1585,70
521,90
1423,70
155,90
1685,70
250,90
324,90
1587,90
1839,70
239,70
470,95
823,80
1527,80
62,80
1519,90
1415,80
1761,90
34,90
1784,70
981,90
1700,90
1009,90
1875,90
578,90
308,95
1961,70
1809,80
1321,90
770,95
492,80
121,95
729,80
407,90
288,80
1031,80
982,80
1581,80
1451,90
1802,90
1450,90
916,80
1913,80
346,80
1771,90
1508,80
287,95
71,80
1504,95
452,80
1698,80
347,60
44,70
291,85
1615,90
1439,85
1075,80
1339,90
482,90
148,95
1073,80
1609,80
630,70
939,80
744,80
1607,90
1387,90
266,80
774,90
964,70
1371,95
1544,90
39,95
600,60
1876,90
136,90
1528,70
702,80
888,90
216,70
507,80
483,95
123,95
317,70
1083,90
607,90
341,90
388,85
1275,60
377,70
518,80
1335,90
589,80
137,95
32,95
1533,95
895,70
1242,80
493,95
1186,80
529,90
60,95
1131,90
305,85
1444,80
1315,80
315,70
1487,70
1377,95
1643,75
1816,70
1238,80
1356,70
1397,70
1797,90
1506,70
227,90
1178,70
1727,80
735,80
885,90
166,95
318,60
816,70
386,90
1522,80
1985,90
1346,90
372,80
1250,85
1819,80
850,70
830,70
1154,70
1867,80
1124,90
1996,90
1684,80
476,90
73,95
522,80
1845,70
1288,95
1667,85
1344,80
636,70
327,95
524,80
1093,80
127,80
1050,90
722,60
1767,80
345,95
310,80
171,95
503,90
637,80
197,95
1632,70
1425,90
132,95
985,85
1746,95
1434,95
604,80
196,95
545,90
586,90
1438,70
925,70
74,85
686,70
817,70
395,80
635,80
417,90
1613,80
1731,90
168,85
1741,90
272,85
641,70
1864,80
1629,90
1512,60
1810,80
403,70
1323,70
1733,70
878,70
1294,90
97,90
732,80
89,95
58,85
354,90
892,85
453,85
411,80
812,90
298,90
1150,90
730,80
336,95
1546,90
193,90
1911,70
1796,90
1090,70
256,80
314,85
282,80
170,80
1380,90
1364,70
1788,70
188,95
1164,90
1220,80
901,95
203,80
1956,80
393,95
180,90
1905,90
1666,70
1630,90
1347,80
457,80
427,70
300,90
131,85
1701,60
363,70
1770,90
1472,95
253,85
1426,80
289,90
1059,60
154,90
1123,70
1118,80
1258,70
723,90
1774,80
1660,70
1855,80
1293,80
285,80
91,90
1277,90
1835,90
1766,90
1665,90
296,90
1435,90
1459,85
656,90
615,80
1361,80
368,70
1730,80
856,70
1058,90
513,80
1670,80
439,90
199,85
442,80
1322,80
547,90
954,85
326,90
1464,80
295,95
268,95
943,80
1523,80
355,80
1751,85
140,80
890,70
1039,80
731,90
1679,80
1882,60
1003,70
646,70
1621,90
1248,80
1728,80
1964,85
1912,70
57,85
595,90
1694,90
768,80
781,85
810,70
178,90
1945,80
133,85
1127,70
1663,80
1177,90
118,90
643,80
1616,90
68,80
135,95
899,85
18,80
1473,90
936,80
1375,70
1842,80
1861,90
481,90
1064,75
951,90
772,80
750,90
1224,80
1757,80
706,90
1877,70
382,90
1744,70
582,70
464,80
59,70
1152,70
1331,80
1207,80
88,70
53,90
1041,60
1917,70
2,90
540,70
255,85
290,95
536,80
9,80
280,80
1695,85
625,80
129,70
163,80
538,85
78,90
214,95
381,85
914,70
1899,90
294,90
1319,80
811,80
416,80
1491,85
90,80
631,70
912,80
299,85
1647,95
714,80
1287,90
371,80
1720,70
115,90
1494,85
215,80
1145,80
228,80
181,85
273,95
143,90
1333,70
1328,95
1930,60
56,85
1888,90
1119,80
599,90
230,70
194,95
1710,70
868,80
383,85
213,80
1475,90
1393,70
1715,70
1421,80
1285,90
